pl_name,hostname,tic_id,gaia_id,discoverymethod,disc_year,disc_locale,st_temp,st_log_luminosity_sun,st_log_temp
K2-133 d,K2-133,TIC 150096001,Gaia DR2 148080473682357376,Transit,2017,Space,3655,-1.479,0.947128677
Gl 686 b,Gl 686,TIC 230241767,Gaia DR2 4550763526539955712,Radial Velocity,2018,Ground,3654,-1.523,0.947097086
Ross 458 c,Ross 458,TIC 88138162,Gaia DR2 3737308025028857600,Imaging,2010,Ground,3646,-1.298,0.946844046
LHS 1815 b,LHS 1815,TIC 260004324,Gaia DR2 5500061456275483776,Transit,2020,Space,3643,-1.387,0.946749013
Kepler-1652 b,Kepler-1652,TIC 27187450,Gaia DR2 2135055391335687680,Transit,2017,Space,3638,-1.638,0.946590451
GJ 15 A c,GJ 15 A,TIC 440109725,Gaia DR2 385334230892516480,Radial Velocity,2018,Ground,3607,-1.655,0.945602473
GJ 411 b,GJ 411,TIC 166646191,,Radial Velocity,2019,Ground,3601,-1.71,0.945410271
GJ 674 b,GJ 674,TIC 218263393,Gaia DR2 5951824121022278144,Radial Velocity,2007,Ground,3600,-1.796,0.945378206
K2-151 b,K2-151,TIC 376936928,Gaia DR2 2579620343673729408,Transit,2018,Space,3585,-1.553,0.944896163
K2-264 b,K2-264,TIC 184914317,Gaia DR2 661167785238757376,Transit,2018,Space,3580,-1.481,0.944735033
K2-264 c,K2-264,TIC 184914317,Gaia DR2 661167785238757376,Transit,2018,Space,3580,-1.481,0.944735033
GJ 393 b,GJ 393,TIC 277888583,Gaia DR2 3855208897392952192,Radial Velocity,2021,Ground,3579,-1.571,0.94470278
Kepler-1229 b,Kepler-1229,TIC 273373582,Gaia DR2 2086316205543022336,Transit,2016,Space,3577,-1.533,0.944638247
TOI-1266 b,TOI-1266,TIC 467179528,Gaia DR2 1678074272650459008,Transit,2020,Space,3573,-1.58,0.944509073
TOI-1266 c,TOI-1266,TIC 467179528,Gaia DR2 1678074272650459008,Transit,2020,Space,3573,-1.58,0.944509073
Kepler-296 e,Kepler-296,TIC 243271945,Gaia DR2 2132069633148965888,Transit,2014,Space,3572,-1.569,0.944476757
Kepler-296 f,Kepler-296,TIC 243271945,Gaia DR2 2132069633148965888,Transit,2014,Space,3572,-1.569,0.944476757
GJ 15 A b,GJ 15 A,TIC 440109725,Gaia DR2 385334230892516480,Radial Velocity,2014,Ground,3567,-1.663,0.944315041
GJ 229 b,GJ 229,TIC 124279525,Gaia DR2 2940856402123426176,Radial Velocity,2014,Ground,3564,-1.553,0.944217902
HD 180617 b,HD 180617,TIC 176188045,Gaia DR2 4293318823182081408,Radial Velocity,2018,Ground,3557,-1.487,0.943990927
TOI-1231 b,TOI-1231,TIC 447061717,Gaia DR2 5357465071715078016,Transit,2021,Space,3553,-1.487,0.943861026
TOI-1634 b,TOI-1634,TIC 201186294,Gaia DR2 223158499179138432,Transit,2021,Space,3550,-1.539,0.943763505
ROXs 12 b,ROXs 12,TIC 175595883,Gaia DR2 6048935358761628288,Imaging,2013,Ground,3547,-0.79,0.943665901
GJ 27.1 b,GJ 27.1,TIC 80417903,Gaia DR2 4980466929964496128,Radial Velocity,2014,Ground,3542,-1.585,0.943503044
2MASS J01225093-2439505 b,2MASS J01225093-2439505,TIC 11614485,Gaia DR2 5040416186560252416,Imaging,2013,Ground,3530,-1.72,0.943111247
GJ 3341 b,GJ 3341,TIC 77897915,Gaia DR2 4827532078086044416,Radial Velocity,2015,Ground,3526,-1.538,0.942980352
GJ 367 b,GJ 367,TIC 34068865,Gaia DR2 5412250540681250560,Transit,2021,Space,3522,-1.541,0.942849309
TOI-674 b,TOI-674,TIC 158588995,Gaia DR2 5400949450924312576,Transit,2021,Space,3514,-1.614,0.942586775
TOI-270 b,TOI-270,TIC 259377017,Gaia DR2 4781196115469953024,Transit,2019,Space,3506,-1.712,0.942323643
TOI-270 c,TOI-270,TIC 259377017,Gaia DR2 4781196115469953024,Transit,2019,Space,3506,-1.712,0.942323643
TOI-270 d,TOI-270,TIC 259377017,Gaia DR2 4781196115469953024,Transit,2019,Space,3506,-1.712,0.942323643
EPIC 228836835 b,EPIC 228836835,TIC 51641442,Gaia DR2 3680103286893920768,Transit,2021,Space,3506,-1.612,0.942323643
GJ 357 b,GJ 357,TIC 413248763,Gaia DR2 5664814198431308288,Transit,2019,Space,3505,-1.798,0.942290709
GJ 357 c,GJ 357,TIC 413248763,Gaia DR2 5664814198431308288,Radial Velocity,2019,Multiple Locales,3505,-1.798,0.942290709
GJ 357 d,GJ 357,TIC 413248763,Gaia DR2 5664814198431308288,Radial Velocity,2019,Multiple Locales,3505,-1.798,0.942290709
GJ 625 b,GJ 625,TIC 207492082,Gaia DR2 1428427236986209024,Radial Velocity,2017,Ground,3499,-1.894,0.942092909
K2-150 b,K2-150,TIC 376879419,Gaia DR2 2579495171146737280,Transit,2018,Space,3499,-1.585,0.942092909
TOI-2285 b,TOI-2285,TIC 329148988,Gaia DR2 2199658670194983040,Transit,2021,Space,3491,-1.542,0.941828647
LHS 1678 b,LHS 1678,TIC 77156829,Gaia DR2 4864160624337973248,Transit,2021,Space,3490,-1.839,0.941795572
LHS 1678 c,LHS 1678,TIC 77156829,Gaia DR2 4864160624337973248,Transit,2021,Space,3490,-1.839,0.941795572
Kepler-1512 b,Kepler-1512,TIC 158989438,Gaia DR2 2127115783511206016,Transit,2016,Space,3484,-1.695,0.941596921
TOI-700 b,TOI-700,TIC 150428135,Gaia DR2 5284517766615492736,Transit,2020,Space,3480,-1.633,0.941464297
TOI-700 c,TOI-700,TIC 150428135,Gaia DR2 5284517766615492736,Transit,2020,Space,3480,-1.633,0.941464297
